TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, rightEye, leftEye, zPos
637958192525253501,P6,s,tut,23,m,,RightPupil,3.701202,3.573151,
637958192525683601,P6,s,tut,23,m,,RightPupil,3.572571,3.622864,
637958192525773621,P6,s,tut,23,m,,RightPupil,3.575089,3.568878,
637958192525883650,P6,s,tut,23,m,,RightPupil,3.575089,3.568878,
637958192525973659,P6,s,tut,23,m,,RightPupil,3.607925,3.687683,
637958192526063688,P6,s,tut,23,m,,RightPupil,3.607925,3.687683,
637958192526153705,P6,s,tut,23,m,,RightPupil,3.679291,3.672195,
637958192526243724,P6,s,tut,23,m,,RightPupil,3.598251,3.71701,
637958192526333747,P6,s,tut,23,m,,RightPupil,3.598251,3.71701,
637958192526443781,P6,s,tut,23,m,,RightPupil,3.455948,3.57785,
637958192526533784,P6,s,tut,23,m,,RightPupil,3.545319,3.640076,
637958192526653814,P6,s,tut,23,m,,RightPupil,3.545319,3.640076,
637958192526753841,P6,s,tut,23,m,,RightPupil,3.694153,3.599136,
637958192526853855,P6,s,tut,23,m,,RightPupil,3.694153,3.599136,
637958192526963887,P6,s,tut,23,m,,RightPupil,3.585846,3.754913,
637958192527073908,P6,s,tut,23,m,,RightPupil,3.411621,3.702576,
637958192527183940,P6,s,tut,23,m,,RightPupil,3.361359,3.674667,
637958192527293956,P6,s,tut,23,m,,RightPupil,3.361359,3.674667,
637958192527393981,P6,s,tut,23,m,,RightPupil,3.424438,3.79274,
637958192527514003,P6,s,tut,23,m,,RightPupil,3.441742,3.634262,
637958192527634033,P6,s,tut,23,m,,RightPupil,3.441742,3.634262,
637958192527734060,P6,s,tut,23,m,,RightPupil,3.491241,3.617371,
637958192527854086,P6,s,tut,23,m,,RightPupil,3.567383,3.663055,
637958192527964110,P6,s,tut,23,m,,RightPupil,3.567383,3.663055,
637958192528074130,P6,s,tut,23,m,,RightPupil,3.525681,3.606247,
637958192528184156,P6,s,tut,23,m,,RightPupil,3.544342,3.602219,
637958192528284182,P6,s,tut,23,m,,RightPupil,3.544342,3.602219,
637958192528394203,P6,s,tut,23,m,,RightPupil,3.50856,3.500534,
637958192528514233,P6,s,tut,23,m,,RightPupil,3.520905,3.500504,
637958192528634261,P6,s,tut,23,m,,RightPupil,3.46788,3.495682,
637958192528724276,P6,s,tut,23,m,,RightPupil,3.46788,3.495682,
637958192528854312,P6,s,tut,23,m,,RightPupil,3.498886,3.548294,
637958192528954335,P6,s,tut,23,m,,RightPupil,3.501114,3.514984,
637958192529064355,P6,s,tut,23,m,,RightPupil,3.501114,3.514984,
637958192529184385,P6,s,tut,23,m,,RightPupil,3.426804,3.513321,
637958192529284403,P6,s,tut,23,m,,RightPupil,3.443512,3.511246,
637958192529404433,P6,s,tut,23,m,,RightPupil,3.443512,3.511246,
637958192529514452,P6,s,tut,23,m,,RightPupil,3.399826,3.511063,
637958192529634484,P6,s,tut,23,m,,RightPupil,3.383926,3.366547,
637958192529737571,P6,s,tut,23,m,,RightPupil,3.399765,3.303024,
637958192529837597,P6,s,tut,23,m,,RightPupil,3.399765,3.303024,
637958192529957622,P6,s,tut,23,m,,RightPupil,3.27359,3.340973,
637958192530067652,P6,s,tut,23,m,,RightPupil,3.2276,3.267319,
637958192530177680,P6,s,tut,23,m,,RightPupil,3.2276,3.267319,
637958192530287701,P6,s,tut,23,m,,RightPupil,3.219315,3.289413,
637958192530397720,P6,s,tut,23,m,,RightPupil,3.14621,3.302658,
637958192530517750,P6,s,tut,23,m,,RightPupil,3.14621,3.302658,
637958192530627773,P6,s,tut,23,m,,RightPupil,3.133469,3.29567,
637958192530727796,P6,s,tut,23,m,,RightPupil,3.113434,3.212875,
637958192530847821,P6,s,tut,23,m,,RightPupil,3.113434,3.212875,
637958192530967853,P6,s,tut,23,m,,RightPupil,3.061768,3.218292,
637958192531077879,P6,s,tut,23,m,,RightPupil,3.113342,3.216721,
637958192531187897,P6,s,tut,23,m,,RightPupil,3.113693,3.216965,
637958192531277924,P6,s,tut,23,m,,RightPupil,3.113693,3.216965,
637958192531407951,P6,s,tut,23,m,,RightPupil,3.090683,3.206818,
637958192531517980,P6,s,tut,23,m,,RightPupil,3.050095,3.205032,
637958192531617990,P6,s,tut,23,m,,RightPupil,3.050095,3.205032,
637958192531728023,P6,s,tut,23,m,,RightPupil,3.048508,3.190277,
637958192531848045,P6,s,tut,23,m,,RightPupil,3.042862,3.184433,
637958192531958072,P6,s,tut,23,m,,RightPupil,3.042862,3.184433,
637958192532058094,P6,s,tut,23,m,,RightPupil,3.037811,3.177963,
637958192532188126,P6,s,tut,23,m,,RightPupil,3.034027,3.167755,
637958192532288143,P6,s,tut,23,m,,RightPupil,3.034027,3.167755,
637958192532398170,P6,s,tut,23,m,,RightPupil,3.062241,3.100723,
637958192532518196,P6,s,tut,23,m,,RightPupil,3.034286,3.094879,
637958192532618220,P6,s,tut,23,m,,RightPupil,2.99588,3.098877,
637958192532788259,P6,s,tut,23,m,,RightPupil,3.03392,3.063904,
637958192532898282,P6,s,tut,23,m,,RightPupil,3.03392,3.063904,
637958192533008307,P6,s,tut,23,m,,RightPupil,2.972092,3.075821,
637958192533128334,P6,s,tut,23,m,,RightPupil,2.984055,3.062988,
637958192533238361,P6,s,tut,23,m,,RightPupil,2.984055,3.062988,
637958192533338381,P6,s,tut,23,m,,RightPupil,2.990585,3.053528,
637958192533458411,P6,s,tut,23,m,,RightPupil,2.997025,3.053391,
637958192533568433,P6,s,tut,23,m,,RightPupil,2.997025,3.053391,
637958192533678459,P6,s,tut,23,m,,RightPupil,2.993942,3.054626,
