"Time","Participant","Age","Sex","Handedness","Task","Group","Condition","Trial","Event","CurrentGazeTarget","CurrentGazeArea","EyePos_X","EyePos_Y","EyePos_Z","eyeAngleX","eyeAngleY","eyeAngleZ","HeadPos_X","HeadPos_Y","HeadPos_Z","HeadRot_X","HeadRot_Y","HeadRot_Z","HandPos_X","HandPos_Y","HandPos_Z","HandRot_X","HandRot_Y","HandRot_Z","RayCast_StartPos_X","RayCast_StartPos_Y","RayCast_StartPos_Z","RayCast_EndPos_X","RayCast_EndPos_Y","RayCast_EndPos_Z","Partner_HeadPos_X","Partner_HeadPos_Y","Partner_HeadPos_Z","Partner_HeadRot_X","Partner_HeadRot_Y","Partner_HeadRot_Z","Partner_HandPos_X","Partner_HandPos_Y","Partner_HandPos_Z","Partner_HandRot_X","Partner_HandRot_Y","Partner_HandRot_Z","Partner_RayCast_StartPos_X","Partner_RayCast_StartPos_Y","Partner_RayCast_StartPos_Z","Partner_RayCast_EndPos_X","Partner_RayCast_EndPos_Y","Partner_RayCast_EndPos_Z","RightPupil","LeftPupil","xHeadRot","yHeadRot","zHeadRot","xHandRot","yHandRot","zHandRot","ModTime","ActionEvent","cubeColor","sequenceType","sequenceNum","Size","GazeEvent","Phase","gazeDirX","gazeDirY","gazeDirZ","dir_mag","normX","normY","normZ","dotProd","theta_radians","degrees","delta_t","gaze_velocity","gaze_velocity_filt_bf","gaze_velocity_filt","gazeType","is_fixation","fixation_change","fixation_id"
638338370198503777,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","Network Blue Cube(Clone)85","play_wall",1.806423,9.148692,-7.526126,-20.04514,3.391133,-14.5492,12.28493,7.426662,0.07448748,0.06900547,0.8426313,0.0647409,12.11633,6.892594,0.1913462,0.190331,0.8602526,0.04674751,12.11644,6.891548,0.1926325,4.193141,9.524944,-5.31069,-10.14022,5.055017,-0.5081711,0.007950939,-0.7504064,-0.09351024,-10.01159,4.583395,0.07208985,-0.7219532,0.04349709,-0.6982117,-10.01159,4.583395,-0.6982117,-0.02130661,4.899778,-1.005067,3.615311,3.531189,357.9401,115.4584,10.66416,357.3377,121.3989,11.04122,62.9235773,"play_wall","none","none",0,1,"none","none",-10.478507,1.72203,-7.60061348,13.0588598867706,-0.802405959697549,0.131866795028907,-0.582027339745016,0.999995183829318,0.00310360259965652,0.177823330246149,0.0115174999999965,15.4394035377645,28.4074886212509,19.8801515127726,"fixation",TRUE,FALSE,178
638338370198603775,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","Network Blue Cube(Clone)85","play_wall",1.488941,9.196187,-7.557256,-20.21908,3.409436,-14.30201,12.28479,7.426407,0.0745782,0.06766301,0.8420756,0.06417803,12.11682,6.893066,0.1905956,0.1966956,0.8587543,0.04792257,12.11699,6.891927,0.1919368,4.196649,9.488113,-5.333277,-10.14075,5.055328,-0.5101776,0.009205591,-0.756327,-0.09382813,-10.01117,4.584066,0.07542452,-0.7292117,0.04230744,-0.7007599,-10.01117,4.584066,-0.7007599,-0.03165004,4.946019,-1.228186,3.700882,3.432877,357.9257,115.3166,10.50151,357.3098,121.3681,10.87416,62.9335771,"play_wall","none","none",0,1,"none","none",-10.795849,1.76978,-7.6318342,13.3389418671606,-0.809348230730242,0.132677690451373,-0.572146897108004,0.999926762087409,0.0121027936091857,0.693438994124247,0.00999980000000278,69.3452863181318,30.6459944128084,19.8801515127726,"fixation",TRUE,FALSE,178
638338370198710633,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","Network Blue Cube(Clone)85","play_wall",1.105682,9.196187,-7.800876,-20.25469,3.298658,-14.27764,12.28464,7.42621,0.07472479,0.06628837,0.8411318,0.06355711,12.11627,6.893803,0.1900283,0.2031137,0.8578451,0.04935476,12.11653,6.892715,0.1912408,4.220956,9.567565,-5.331896,-10.14128,5.055639,-0.5121765,0.0104597,-0.7621846,-0.09413816,-10.01075,4.58474,0.07875047,-0.7363781,0.04111195,-0.7033081,-10.01075,4.58474,-0.7033081,-0.04705764,4.991468,-1.451245,3.72554,3.389816,357.922,115.092,10.33373,357.2781,121.4631,10.71366,62.9442629,"play_wall","none","none",0,1,"none","none",-11.178958,1.769977,-7.87560079,13.7886550594952,-0.810735923972652,0.128364731176675,-0.571165262748138,0.999989254541871,0.00463583377025406,0.265613709559778,0.0106857999999974,24.8566985681785,31.6207208550952,19.8801515127726,"fixation",TRUE,FALSE,178
638338370198820627,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","Network Blue Cube(Clone)85","play_wall",1.077599,9.241368,-7.595387,-20.43479,3.402513,-13.99391,12.28451,7.426003,0.07497549,0.06486887,0.8400671,0.06299362,12.11574,6.894308,0.1892083,0.2019145,0.8600708,0.05013938,12.11611,6.893523,0.1900665,4.261837,9.647548,-5.35302,-10.14181,5.05595,-0.514183,0.01171313,-0.7679789,-0.09444027,-10.01033,4.585411,0.08206709,-0.7434512,0.03991085,-0.7058563,-10.01033,4.585411,-0.7058563,-0.06752422,5.036098,-1.674118,3.747726,3.421402,357.9116,114.8422,10.16569,357.2253,121.7874,10.55715,62.9552623,"play_wall","none","none",0,1,"none","none",-11.206911,1.815365,-7.67036249,13.7012723851891,-0.817946734064972,0.132496088608704,-0.559828479747003,0.999901206727383,0.0140566638534778,0.805387512838378,0.0109994000000029,73.2210404965877,31.1582987160378,19.7981767951344,"fixation",TRUE,FALSE,178
638338370198930617,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","Network Blue Cube(Clone)85","play_wall",1.130252,9.264203,-7.591485,-20.40108,3.455035,-14.03038,12.28426,7.425886,0.07531112,0.06341445,0.8386312,0.06279724,12.11554,6.894754,0.1888979,0.1964108,0.8619241,0.05201858,12.11578,6.894071,0.1895775,4.305439,9.637735,-5.420315,-10.14234,5.056261,-0.5161896,0.01296578,-0.773709,-0.09473443,-10.00991,4.586082,0.08537383,-0.7504296,0.03870431,-0.7084045,-10.00991,4.586082,-0.7084045,-0.09304801,5.079882,-1.89668,3.787262,3.601257,357.8694,114.5152,10.01871,357.1906,121.8603,10.39309,62.9662613,"play_wall","none","none",0,1,"none","none",-11.154008,1.838317,-7.66679612,13.6591019690974,-0.816598926139877,0.134585495017099,-0.561295767272659,0.999995832430987,0.00288706491348351,0.165416634722908,0.0109989999999982,15.0392430878202,29.6057356864657,19.8801515127726,"fixation",TRUE,FALSE,178
638338370199040639,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","Network Blue Cube(Clone)85","play_wall",1.378858,9.264203,-7.528267,-20.29927,3.516448,-14.16203,12.28402,7.425807,0.07578644,0.06188946,0.837098,0.06288134,12.11576,6.895181,0.188622,0.1912848,0.8618892,0.05146723,12.11596,6.894556,0.1891706,4.31222,9.616136,-5.440628,-10.14287,5.056572,-0.5181923,0.01421743,-0.7793741,-0.09502061,-10.00949,4.586756,0.0886701,-0.7573122,0.03749254,-0.7109489,-10.00949,4.586756,-0.7109489,-0.1236158,5.122798,-2.118805,3.777466,3.601807,357.7965,114.169,9.883196,357.1548,121.5418,10.24084,62.9772635,"play_wall","none","none",0,1,"none","none",-10.905162,1.838396,-7.60405344,13.421024059938,-0.812543212149665,0.136978817099929,-0.566577736992381,0.999974961994659,0.00707645530268727,0.405451022756952,0.0110022000000001,36.8518135242905,27.7486179464948,24.8566985681785,"fixation",TRUE,FALSE,178
638338370199120631,"nuP15",21,"m","Right","Loom","c","comp",2,"Network Blue Cube(Clone)85 was picked up","Network Blue Cube(Clone)85","play_wall",1.378858,9.264203,-7.528267,-20.29927,3.516448,-14.16203,12.2837,7.425776,0.0762006,0.06018886,0.8353285,0.06298586,12.11556,6.895687,0.1884056,0.1860644,0.8617907,0.05068413,12.1158,6.894975,0.189041,9.568055,NA,-5.399897,-10.1434,5.056883,-0.520195,0.01546801,-0.7849739,-0.09529877,-10.00908,4.587427,0.09195534,-0.7640977,0.03627575,-0.713501,-10.00908,4.587427,-0.713501,-0.1592079,5.164821,-2.340382,3.777466,3.601807,357.7141,113.773,9.733603,357.0865,121.2029,10.09857,62.9852627,"Grab","Blue","none",0,3,"none","Phase 3",-10.904842,1.838427,-7.6044676,13.4210029565134,-0.812520646581609,0.136981342300337,-0.566609486983938,0.999999999238178,3.9033872620992e-05,0.0022364761592341,0.00799920000000043,0.279587478652112,26.5444789058876,36.8518135242905,"fixation",TRUE,FALSE,178
638338370199140642,"nuP15",21,"m","Right","Loom","c","comp",2,"Network Blue Cube(Clone)85 was picked up by P1","Network Blue Cube(Clone)85","play_wall",1.378858,9.264203,-7.528267,-20.29927,3.516448,-14.16203,12.2837,7.425776,0.0762006,0.06018886,0.8353285,0.06298586,12.11556,6.895687,0.1884056,0.1860644,0.8617907,0.05068413,12.1158,6.894975,0.189041,9.568055,NA,-5.399897,-10.1434,5.056883,-0.520195,0.01546801,-0.7849739,-0.09529877,-10.00908,4.587427,0.09195534,-0.7640977,0.03627575,-0.713501,-10.00908,4.587427,-0.713501,-0.1592079,5.164821,-2.340382,3.777466,3.601807,357.7141,113.773,9.733603,356.9806,121.094,9.947835,62.9872638,"play_wall","none","none",0,1,"none","none",-10.904842,1.838427,-7.6044676,13.4210029565134,-0.812520646581609,0.136981342300337,-0.566609486983938,1,0,0,0.00200110000000109,0,26.7601906244185,24.8566985681785,"fixation",TRUE,FALSE,178
638338370199160641,"nuP15",21,"m","Right","Loom","c","comp",2,"Network Blue Cube(Clone)85 was picked up by P1","Network Blue Cube(Clone)85","play_wall",1.378858,9.264203,-7.528267,-20.29927,3.516448,-14.16203,12.2837,7.425776,0.0762006,0.06018886,0.8353285,0.06298586,12.11556,6.895687,0.1884056,0.1860644,0.8617907,0.05068413,12.1158,6.894975,0.189041,9.568055,NA,-5.399897,-10.1434,5.056883,-0.520195,0.01546801,-0.7849739,-0.09529877,-10.00908,4.587427,0.09195534,-0.7640977,0.03627575,-0.713501,-10.00908,4.587427,-0.713501,-0.1592079,5.164821,-2.340382,3.777466,3.601807,357.7141,113.773,9.733603,356.9806,121.094,9.947835,62.9892637,"play_wall","none","none",0,1,"none","none",-10.904842,1.838427,-7.6044676,13.4210029565134,-0.812520646581609,0.136981342300337,-0.566609486983938,1,0,0,0.00199990000000128,0,28.6086429121829,36.8518135242905,"fixation",TRUE,FALSE,178
638338370199230901,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","Network Blue Cube(Clone)85","play_wall",1.514286,9.310534,-7.366124,-20.34207,3.655947,-14.06488,12.2837,7.425776,0.0762006,0.06018886,0.8353285,0.06298586,12.11556,6.895687,0.1884056,0.1860644,0.8617907,0.05068413,12.1158,6.894975,0.189041,4.266062,9.568055,-5.399897,-10.1434,5.056883,-0.520195,0.01546801,-0.7849739,-0.09529877,-10.00908,4.587427,0.09195534,-0.7640977,0.03627575,-0.713501,-10.00908,4.587427,-0.713501,-0.1592079,5.164821,-2.340382,3.672379,3.603088,357.7141,113.773,9.733603,356.9806,121.094,9.947835,62.9962897,"play_wall","none","none",0,1,"none","none",-10.769414,1.884758,-7.4423246,13.2257622114465,-0.814275489595558,0.142506569365719,-0.562714230077335,0.999975609682752,0.00698432765506832,0.400172497371918,0.0070259999999962,56.9559489570358,31.5972799844693,36.8518135242905,"fixation",TRUE,FALSE,178
