TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, rightEye, leftEye, zPos
637959129699332847,P13,tut,1,32,m,,RightPupil,2.611115,-1,
637959129699712942,P13,tut,1,32,m,,RightPupil,2.665695,2.534058,
637959129699792951,P13,tut,1,32,m,,RightPupil,2.72908,2.548538,
637959129699872976,P13,tut,1,32,m,,RightPupil,2.72908,2.548538,
637959129699952986,P13,tut,1,32,m,,RightPupil,2.696823,2.529938,
637959129700023003,P13,tut,1,32,m,,RightPupil,2.696823,2.529938,
637959129700113023,P13,tut,1,32,m,,RightPupil,2.699921,2.563141,
637959129700233045,P13,tut,1,32,m,,RightPupil,2.699921,2.563141,
637959129700343072,P13,tut,1,32,m,,RightPupil,2.703857,2.505814,
637959129700443096,P13,tut,1,32,m,,RightPupil,2.700928,2.50769,
637959129700563127,P13,tut,1,32,m,,RightPupil,2.700241,2.512146,
637959129700673150,P13,tut,1,32,m,,RightPupil,2.700241,2.512146,
637959129700783175,P13,tut,1,32,m,,RightPupil,2.650681,2.553497,
637959129700903203,P13,tut,1,32,m,,RightPupil,2.720642,2.525269,
637959129701013231,P13,tut,1,32,m,,RightPupil,2.720642,2.525269,
637959129701113249,P13,tut,1,32,m,,RightPupil,2.698898,2.593719,
637959129701233279,P13,tut,1,32,m,,RightPupil,2.702255,2.544281,
637959129701343302,P13,tut,1,32,m,,RightPupil,2.702255,2.544281,
637959129701453328,P13,tut,1,32,m,,RightPupil,2.703888,2.548157,
637959129701573350,P13,tut,1,32,m,,RightPupil,2.700882,2.546402,
637959129701673376,P13,tut,1,32,m,,RightPupil,2.700882,2.546402,
637959129701793398,P13,tut,1,32,m,,RightPupil,2.705566,2.56366,
637959129701903428,P13,tut,1,32,m,,RightPupil,2.708267,2.561462,
637959129702013453,P13,tut,1,32,m,,RightPupil,2.709,2.570618,
637959129702123481,P13,tut,1,32,m,,RightPupil,2.709,2.570618,
637959129702233503,P13,tut,1,32,m,,RightPupil,2.715256,2.57135,
637959129702343528,P13,tut,1,32,m,,RightPupil,2.738419,2.57872,
637959129702443548,P13,tut,1,32,m,,RightPupil,2.738419,2.57872,
637959129702563577,P13,tut,1,32,m,,RightPupil,2.741028,2.580811,
637959129702673602,P13,tut,1,32,m,,RightPupil,2.741013,2.580688,
637959129702793630,P13,tut,1,32,m,,RightPupil,2.741013,2.580688,
637959129702903657,P13,tut,1,32,m,,RightPupil,2.779968,2.584671,
637959129703013678,P13,tut,1,32,m,,RightPupil,2.779861,2.585526,
637959129703113702,P13,tut,1,32,m,,RightPupil,2.779861,2.585526,
637959129703233731,P13,tut,1,32,m,,RightPupil,2.776352,2.610733,
637959129703343752,P13,tut,1,32,m,,RightPupil,2.774445,2.596619,
637959129703453775,P13,tut,1,32,m,,RightPupil,2.757828,2.58609,
637959129703563801,P13,tut,1,32,m,,RightPupil,2.757828,2.58609,
637959129703673826,P13,tut,1,32,m,,RightPupil,2.745224,2.5784,
637959129703793855,P13,tut,1,32,m,,RightPupil,2.712692,2.560776,
637959129703903880,P13,tut,1,32,m,,RightPupil,2.712692,2.560776,
637959129704013905,P13,tut,1,32,m,,RightPupil,2.690887,2.546326,
637959129704123931,P13,tut,1,32,m,,RightPupil,2.687485,2.541214,
637959129704233956,P13,tut,1,32,m,,RightPupil,2.657837,2.508987,
637959129704343980,P13,tut,1,32,m,,RightPupil,2.657837,2.508987,
637959129704454008,P13,tut,1,32,m,,RightPupil,2.638245,2.499832,
637959129704564025,P13,tut,1,32,m,,RightPupil,2.624847,2.477737,
637959129704674049,P13,tut,1,32,m,,RightPupil,2.624847,2.477737,
637959129704794082,P13,tut,1,32,m,,RightPupil,2.580765,2.452866,
637959129704894107,P13,tut,1,32,m,,RightPupil,2.575912,2.430984,
637959129705014134,P13,tut,1,32,m,,RightPupil,2.575912,2.430984,
637959129705124156,P13,tut,1,32,m,,RightPupil,2.542526,2.402084,
637959129705234182,P13,tut,1,32,m,,RightPupil,2.431732,2.367569,
637959129705344205,P13,tut,1,32,m,,RightPupil,2.431732,2.367569,
637959129705454232,P13,tut,1,32,m,,RightPupil,2.460098,2.345703,
637959129705564259,P13,tut,1,32,m,,RightPupil,2.48642,2.350555,
637959129705674281,P13,tut,1,32,m,,RightPupil,2.390396,2.221832,
637959129705794306,P13,tut,1,32,m,,RightPupil,2.390396,2.221832,
637959129705904332,P13,tut,1,32,m,,RightPupil,2.471649,2.310928,
637959129706014357,P13,tut,1,32,m,,RightPupil,2.388733,2.328156,
637959129706124383,P13,tut,1,32,m,,RightPupil,2.388733,2.328156,
637959129706234407,P13,tut,1,32,m,,RightPupil,2.378769,2.332047,
637959129706354436,P13,tut,1,32,m,,RightPupil,2.37854,2.362839,
